epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.89957,4.73092,3.90685,4.21957,0,0,0,0,3.93297,3.71953,4.15913,0.0001,0.0001,0.0001
2,15.7604,4.63467,3.80855,4.2168,0,0,0,0,3.9324,3.71315,4.15779,0.000215644,0.000215644,0.000215644
3,24.2716,4.43176,3.72699,4.19732,0,0,0,0,3.93005,3.70259,4.1545,0.000326536,0.000326536,0.000326536
4,29.7903,4.60057,3.60479,4.12066,0,0,0,0,3.92676,3.69348,4.15075,0.000432676,0.000432676,0.000432676
5,34.6898,4.66299,3.4143,4.07442,0,0,0,0,3.92113,3.68408,4.1446,0.000534064,0.000534064,0.000534064
6,40.3989,4.2834,3.13696,4.00817,0,0,0,0,3.91554,3.68577,4.13811,0.0006307,0.0006307,0.0006307
7,48.3938,4.17849,3.14483,3.98427,0,0,0,0,3.90884,3.69768,4.13056,0.000722584,0.000722584,0.000722584
8,55.0081,4.21164,2.81886,3.85596,0,0,0,0,3.90553,3.70428,4.12768,0.000809716,0.000809716,0.000809716
9,60.5026,4.06059,2.84677,3.78804,0,0,0,0,3.91327,3.73398,4.13351,0.000892096,0.000892096,0.000892096
10,65.269,3.80919,2.79182,3.73579,0,0,0,0,3.88504,3.67014,4.11604,0.000969724,0.000969724,0.000969724
11,72.7206,3.77122,2.67356,3.6001,0,0,0,0,3.91801,3.71751,4.14196,0.0010426,0.0010426,0.0010426
12,80.2048,3.52323,2.65605,3.60698,0,0,0,0,4.0124,3.93602,4.23234,0.00111072,0.00111072,0.00111072
13,85.7317,3.56656,2.74059,3.47583,0,0,0,0,4.03988,3.95772,4.25837,0.0011741,0.0011741,0.0011741
14,91.0676,3.68549,2.60413,3.41499,0,0,0,0,3.94216,3.69381,4.18031,0.00123272,0.00123272,0.00123272
15,97.0994,3.50081,2.57729,3.33937,0,0,0,0,3.94216,3.69381,4.18031,0.00128658,0.00128658,0.00128658
16,105.207,3.27061,2.66724,3.43938,0.00702,0.21649,0.00556,0.00176,3.88293,3.54708,4.14104,0.0013357,0.0013357,0.0013357
17,111.327,3.5911,2.68542,3.22087,0.012,0.37113,0.01696,0.00445,3.65251,3.13478,3.95708,0.0013664,0.0013664,0.0013664
18,116.596,3.40295,2.59943,3.18292,0.01167,0.36082,0.01769,0.00475,3.60944,3.09167,3.93682,0.0013268,0.0013268,0.0013268
19,121.809,3.28867,2.59192,3.19078,0.01167,0.36082,0.01769,0.00475,3.60944,3.09167,3.93682,0.0012872,0.0012872,0.0012872
20,129.464,3.26614,2.47883,3.14442,0.01075,0.3299,0.01512,0.00431,3.65882,3.23627,4.01444,0.0012476,0.0012476,0.0012476
21,135.665,3.23428,2.53801,3.16482,0.0119,0.36082,0.01767,0.00505,3.58653,3.15992,3.99438,0.001208,0.001208,0.001208
22,141.962,3.3172,2.47416,3.07896,0.01567,0.48454,0.03904,0.00994,3.32004,2.75404,3.71053,0.0011684,0.0011684,0.0011684
23,147.135,3.22472,2.49844,3.08223,0.01567,0.48454,0.03904,0.00994,3.32004,2.75404,3.71053,0.0011288,0.0011288,0.0011288
24,152.016,3.17402,2.38427,2.9296,0.06425,0.34021,0.0491,0.01281,3.15173,2.82074,3.42509,0.0010892,0.0010892,0.0010892
25,160.865,3.14332,2.54464,3.04607,0.15701,0.14433,0.11616,0.02746,3.04483,3.08933,3.2967,0.0010496,0.0010496,0.0010496
26,169.938,3.10907,2.45995,2.97638,0.15013,0.2268,0.11939,0.02932,2.93295,2.9191,3.18307,0.00101,0.00101,0.00101
27,177.531,3.16437,2.37666,2.99152,0.15013,0.2268,0.11939,0.02932,2.93295,2.9191,3.18307,0.0009704,0.0009704,0.0009704
28,182.839,3.06575,2.41953,2.87315,0.17166,0.16495,0.12232,0.03583,2.79727,2.71119,3.04758,0.0009308,0.0009308,0.0009308
29,190.239,3.02824,2.4165,2.96921,0.13943,0.24742,0.14362,0.04094,2.70796,2.63019,2.97808,0.0008912,0.0008912,0.0008912
30,198.777,3.01225,2.30859,2.75402,0.2398,0.19588,0.17071,0.04831,2.69762,2.61868,2.96552,0.0008516,0.0008516,0.0008516
