epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.83856,4.40792,3.92306,4.25704,0,0,0,0,3.95893,3.6996,4.1593,0.0002,0.0002,0.0002
2,5.67305,4.35097,3.7153,4.28269,0,0,0,0,3.95839,3.70288,4.15826,0.000419584,0.000419584,0.000419584
3,7.48116,4.40821,3.68196,4.20762,0,0,0,0,3.95709,3.7147,4.15655,0.000638733,0.000638733,0.000638733
4,9.25795,4.39271,3.68623,4.17084,0,0,0,0,3.95594,3.72195,4.15389,0.000857446,0.000857446,0.000857446
5,11.0013,4.27771,3.28189,4.04993,0,0,0,0,3.96171,3.73961,4.15606,0.00107572,0.00107572,0.00107572
6,12.7796,4.10307,3.17165,4.01298,0,0,0,0,3.9717,3.76416,4.1613,0.00129356,0.00129356,0.00129356
7,14.5346,3.96511,3.01217,3.90671,0,0,0,0,3.9706,3.7619,4.16058,0.00151097,0.00151097,0.00151097
8,16.3685,3.83036,2.90676,3.84323,0,0,0,0,3.90902,3.66363,4.12198,0.00172794,0.00172794,0.00172794
9,18.1541,3.75693,3.21495,3.77488,0,0,0,0,3.90902,3.66363,4.12198,0.00194448,0.00194448,0.00194448
10,19.9459,3.72082,2.923,3.72691,0.01333,0.41237,0.01117,0.00334,3.56767,3.00924,3.79204,0.00198218,0.00198218,0.00198218
11,21.7009,3.78215,3.7723,3.62403,0.013,0.40206,0.01492,0.00431,3.63739,3.25345,3.89645,0.0019802,0.0019802,0.0019802
12,23.4621,3.49315,2.90153,3.57618,0.013,0.40206,0.01492,0.00431,3.63739,3.25345,3.89645,0.00197822,0.00197822,0.00197822
13,25.2869,3.37602,2.95473,3.52859,0.01384,0.17526,0.00836,0.00249,3.84912,3.66516,4.13557,0.00197624,0.00197624,0.00197624
14,27.0897,3.46015,2.91977,3.41675,0.01346,0.41237,0.01341,0.00403,3.34146,3.11833,3.81414,0.00197426,0.00197426,0.00197426
15,28.8291,3.23166,2.86516,3.36873,0.01346,0.41237,0.01341,0.00403,3.34146,3.11833,3.81414,0.00197228,0.00197228,0.00197228
16,30.6804,3.26113,2.7522,3.24618,0.05093,0.09278,0.04055,0.01331,2.96375,2.77771,3.43865,0.0019703,0.0019703,0.0019703
17,32.4806,3.02085,2.83643,3.24705,0.07988,0.10309,0.04389,0.01203,2.90394,2.8353,3.31156,0.00196832,0.00196832,0.00196832
18,34.2407,3.25044,2.80514,3.15643,0.15909,0.09278,0.09072,0.02333,2.76552,2.63035,3.20625,0.00196634,0.00196634,0.00196634
19,36.0217,3.07999,2.65628,3.09365,0.15909,0.09278,0.09072,0.02333,2.76552,2.63035,3.20625,0.00196436,0.00196436,0.00196436
20,37.7465,2.835,4.04268,2.73593,0.17152,0.14433,0.08114,0.01849,2.86546,2.62722,3.10776,0.00196238,0.00196238,0.00196238
21,39.6588,3.13916,2.71798,3.08209,0.19614,0.1134,0.08054,0.01641,2.8969,3.33643,3.10823,0.0019604,0.0019604,0.0019604
22,41.5628,3.17643,2.67814,2.98261,0.19614,0.1134,0.08054,0.01641,2.8969,3.33643,3.10823,0.00195842,0.00195842,0.00195842
23,43.4192,3.23032,2.61472,2.90143,0.10677,0.1134,0.05226,0.01535,3.01159,4.22978,3.39678,0.00195644,0.00195644,0.00195644
24,45.2186,3.15396,2.69355,2.8466,0.07239,0.13402,0.07562,0.02125,2.66605,2.55765,3.00562,0.00195446,0.00195446,0.00195446
25,46.952,3.00304,2.66582,2.90637,0.07239,0.13402,0.07562,0.02125,2.66605,2.55765,3.00562,0.00195248,0.00195248,0.00195248
26,48.7253,3.09282,2.52068,2.81161,0.07136,0.2268,0.04944,0.01417,2.83062,2.78142,3.13923,0.0019505,0.0019505,0.0019505
27,50.5081,2.9332,2.5552,2.86567,0.07303,0.12371,0.05028,0.01406,2.83507,2.69655,3.05214,0.00194852,0.00194852,0.00194852
28,52.2471,3.07872,2.44132,2.81962,0.07303,0.12371,0.05028,0.01406,2.83507,2.69655,3.05214,0.00194654,0.00194654,0.00194654
29,54.0684,2.94302,2.96256,2.70407,0.05893,0.25773,0.03659,0.00932,2.83185,3.75319,2.99285,0.00194456,0.00194456,0.00194456
30,55.8512,2.9457,2.53133,2.74461,0.13227,0.35673,0.1048,0.02993,2.64132,2.53739,2.76412,0.00194258,0.00194258,0.00194258
31,57.6172,3.08323,2.5357,2.81545,0.13227,0.35673,0.1048,0.02993,2.64132,2.53739,2.76412,0.0019406,0.0019406,0.0019406
32,59.4664,2.90987,2.56542,2.795,0.22199,0.25773,0.18067,0.0546,2.58304,2.33535,2.74235,0.00193862,0.00193862,0.00193862
33,61.2504,2.87804,2.4081,2.71658,0.21036,0.20619,0.16539,0.05431,2.5481,2.37344,2.69895,0.00193664,0.00193664,0.00193664
34,63.1689,2.92232,2.5192,2.68873,0.18073,0.27835,0.12841,0.04073,2.56217,2.42382,2.68792,0.00193466,0.00193466,0.00193466
35,64.9412,2.79941,2.51261,2.7794,0.18073,0.27835,0.12841,0.04073,2.56217,2.42382,2.68792,0.00193268,0.00193268,0.00193268
36,66.6839,2.8316,2.47272,2.61314,0.14319,0.23711,0.13686,0.04311,2.52391,2.37452,2.65475,0.0019307,0.0019307,0.0019307
37,68.508,2.76889,2.48044,2.71638,0.17339,0.30928,0.15521,0.04863,2.48305,2.29621,2.61813,0.00192872,0.00192872,0.00192872
38,70.334,2.8104,2.4267,2.66812,0.17339,0.30928,0.15521,0.04863,2.48305,2.29621,2.61813,0.00192674,0.00192674,0.00192674
39,72.1251,2.74615,2.45482,2.634,0.24865,0.27835,0.19353,0.05565,2.49311,2.29316,2.64743,0.00192476,0.00192476,0.00192476
40,73.9138,2.75808,2.51301,2.71007,0.22725,0.25773,0.17413,0.04972,2.46765,2.312,2.67429,0.00192278,0.00192278,0.00192278
41,75.6777,2.60993,2.41021,2.65001,0.22725,0.25773,0.17413,0.04972,2.46765,2.312,2.67429,0.0019208,0.0019208,0.0019208
42,77.4649,2.68137,2.37119,2.58063,0.25327,0.20619,0.1765,0.05361,2.43167,2.29638,2.64023,0.00191882,0.00191882,0.00191882
43,79.22,2.77992,2.32817,2.51726,0.21575,0.23711,0.17835,0.06196,2.39956,2.26861,2.55629,0.00191684,0.00191684,0.00191684
44,81.0202,2.60036,2.33875,2.55556,0.21575,0.23711,0.17835,0.06196,2.39956,2.26861,2.55629,0.00191486,0.00191486,0.00191486
45,82.8779,2.53992,2.3627,2.43926,0.2387,0.3782,0.17649,0.06049,2.33906,2.16926,2.47377,0.00191288,0.00191288,0.00191288
46,84.6831,2.74388,2.37731,2.45256,0.28591,0.34021,0.20597,0.0635,2.33365,2.171,2.46489,0.0019109,0.0019109,0.0019109
47,86.4604,2.55874,2.29316,2.53063,0.28591,0.34021,0.20597,0.0635,2.33365,2.171,2.46489,0.00190892,0.00190892,0.00190892
48,88.2762,2.47,2.65224,2.40847,0.30177,0.31959,0.27769,0.09289,2.26921,2.10738,2.43506,0.00190694,0.00190694,0.00190694
